day,userid,deptid_descr2,deptid_descr3,deptid_descr4,deptid_descr5,deptid_descr6,appname,day_cnt
2026/8/1,U0001,演示总部,北区中心,青松分部,晨曦团队,A组,云报表,12
2026/8/1,U0002,演示总部,北区中心,青松分部,晨曦团队,B组,云报表,7
2026/8/1,U0003,演示总部,南区中心,湖畔分部,远航团队,A组,协同台,5
2026/8/2,U0004,演示总部,东区中心,梧桐分部,星火团队,C组,云报表,18
2026/8/2,U0005,演示总部,北区中心,青松分部,晨曦团队,A组,移动看板,9
2026/8/2,U0006,演示总部,南区中心,海风分部,澄明团队,B组,协同台,14
2026/8/4,U0007,演示总部,西区中心,晴川分部,白露团队,A组,云报表,4
2026/8/4,U0008,演示总部,东区中心,梧桐分部,星火团队,C组,移动看板,11
2026/8/4,U0009,演示总部,南区中心,湖畔分部,远航团队,A组,云报表,16
2026/8/5,U0010,演示总部,北区中心,松岭分部,朝霞团队,D组,协同台,8
2026/8/5,U0001,演示总部,北区中心,青松分部,晨曦团队,A组,移动看板,6
2026/8/5,U0003,演示总部,南区中心,湖畔分部,远航团队,A组,云报表,10
2026/8/7,U0011,演示总部,西区中心,晴川分部,白露团队,B组,云报表,13
2026/8/7,U0012,演示总部,东区中心,梧桐分部,星火团队,C组,协同台,20
2026/8/7,U0013,演示总部,北区中心,松岭分部,朝霞团队,D组,云报表,3
2026/8/8,U0014,演示总部,南区中心,海风分部,澄明团队,B组,移动看板,15
2026/8/8,U0015,演示总部,西区中心,云岭分部,新桥团队,E组,协同台,9
2026/8/8,U0002,演示总部,北区中心,青松分部,晨曦团队,B组,云报表,11
2026/8/10,U0016,演示总部,东区中心,栖霞分部,明石团队,A组,云报表,17
2026/8/10,U0017,演示总部,南区中心,海风分部,澄明团队,B组,协同台,6
2026/8/10,U0018,演示总部,西区中心,云岭分部,新桥团队,E组,移动看板,12
2026/8/12,U0019,演示总部,北区中心,松岭分部,朝霞团队,D组,协同台,19
2026/8/12,U0020,演示总部,东区中心,栖霞分部,明石团队,A组,移动看板,5
2026/8/12,U0004,演示总部,东区中心,梧桐分部,星火团队,C组,云报表,8
2026/8/14,U0021,演示总部,南区中心,湖畔分部,远航团队,A组,云报表,22
2026/8/14,U0022,演示总部,西区中心,晴川分部,白露团队,B组,协同台,7
2026/8/14,U0023,演示总部,北区中心,青松分部,晨曦团队,A组,移动看板,10
